Segment,Units Sold,Manufacturing Price,COGS,Date,Month Number,Month Name,Year,Product_Name,Country,Product
Government,1513.0,3,393380.0,2014-12-01,12,December,2014,,Germany,Carretera
Government,1006.0,10,261560.0,2014-06-01,6,June,2014,,Germany,Paseo
Government,1725.0,10,448500.0,2013-11-01,11,November,2013,,Canada,Paseo
Government,1513.0,10,393380.0,2014-12-01,12,December,2014,,Germany,Paseo
Government,1006.0,120,261560.0,2014-06-01,6,June,2014,,Germany,Velo
Government,1527.0,250,397020.0,2013-09-01,9,September,2013,,France,VTT
Government,2750.0,260,715000.0,2014-02-01,2,February,2014,,France,Amarilla
Government,1210.0,3,314600.0,2014-03-01,3,March,2014,,Mexico,Carretera
Government,1397.0,3,363220.0,2014-10-01,10,October,2014,,Mexico,Carretera
Government,2155.0,3,560300.0,2014-12-01,12,December,2014,,France,Carretera
Government,2155.0,10,560300.0,2014-12-01,12,December,2014,,France,Paseo
Government,943.5,250,245310.0,2014-04-01,4,April,2014,,Canada,VTT
Government,1397.0,250,363220.0,2014-10-01,10,October,2014,,Mexico,VTT
Government,2852.0,3,741520.0,2014-12-01,12,December,2014,,Canada,Carretera
Government,2852.0,10,741520.0,2014-12-01,12,December,2014,,Canada,Paseo
Government,2966.0,120,771160.0,2013-10-01,10,October,2013,,Germany,Velo
Government,2877.0,120,748020.0,2014-10-01,10,October,2014,,Germany,Velo
Government,2877.0,250,748020.0,2014-10-01,10,October,2014,,Germany,VTT
Government,266.0,250,69160.0,2013-12-01,12,December,2013,,United States of America,VTT
Government,1940.0,250,504400.0,2013-12-01,12,December,2013,,Mexico,VTT
Government,2966.0,260,771160.0,2013-10-01,10,October,2013,,Germany,Amarilla
Government,1797.0,5,467220.0,2013-09-01,9,September,2013,,Germany,Montana
Government,1642.0,250,426920.0,2014-08-01,8,August,2014,,Mexico,VTT
Government,274.0,3,71240.0,2014-12-01,12,December,2014,,United States of America,Carretera
Government,3450.0,10,897000.0,2014-07-01,7,July,2014,,United States of America,Paseo
Government,274.0,10,71240.0,2014-12-01,12,December,2014,,United States of America,Paseo
Government,2177.0,120,566020.0,2014-10-01,10,October,2014,,France,Velo
Government,349.0,250,90740.0,2013-09-01,9,September,2013,,United States of America,VTT
Government,2177.0,250,566020.0,2014-10-01,10,October,2014,,France,VTT
Government,1865.0,260,484900.0,2014-02-01,2,February,2014,,Mexico,Amarilla
Government,1907.0,260,495820.0,2014-09-01,9,September,2014,,Germany,Amarilla
Government,1778.0,260,462280.0,2013-12-01,12,December,2013,,Canada,Amarilla
Government,1384.5,5,359970.0,2014-01-01,1,January,2014,,France,Montana
Government,720.0,5,187200.0,2013-09-01,9,September,2013,,Mexico,Montana
Government,602.0,10,156520.0,2014-06-01,6,June,2014,,United States of America,Paseo
Government,1228.0,10,319280.0,2013-10-01,10,October,2013,,Canada,Paseo
Government,602.0,120,156520.0,2014-06-01,6,June,2014,,United States of America,Velo
Government,1350.0,260,351000.0,2014-02-01,2,February,2014,,Germany,Amarilla
Government,552.0,260,143520.0,2014-08-01,8,August,2014,,Canada,Amarilla
Government,1228.0,260,319280.0,2013-10-01,10,October,2013,,Canada,Amarilla
Government,980.0,5,254800.0,2014-04-01,4,April,2014,,Mexico,Montana
Government,1460.0,5,379600.0,2014-05-01,5,May,2014,,Germany,Montana
Government,1496.0,10,388960.0,2014-06-01,6,June,2014,,France,Paseo
Government,727.0,10,189020.0,2013-10-01,10,October,2013,,United States of America,Paseo
Government,1496.0,120,388960.0,2014-06-01,6,June,2014,,France,Velo
Government,2076.0,120,539760.0,2013-10-01,10,October,2013,,France,Velo
Government,1679.0,260,436540.0,2014-09-01,9,September,2014,,Mexico,Amarilla
Government,727.0,260,189020.0,2013-10-01,10,October,2013,,United States of America,Amarilla
Government,2076.0,260,539760.0,2013-10-01,10,October,2013,,France,Amarilla
Government,1761.0,3,457860.0,2014-03-01,3,March,2014,,United States of America,Carretera
Government,2876.0,260,747760.0,2014-09-01,9,September,2014,,France,Amarilla
Government,1362.0,3,354120.0,2014-12-01,12,December,2014,,Mexico,Carretera
Government,2146.0,10,557960.0,2013-11-01,11,November,2013,,Germany,Paseo
Government,1362.0,10,354120.0,2014-12-01,12,December,2014,,Mexico,Paseo
Government,574.5,250,149370.0,2014-04-01,4,April,2014,,France,VTT
Government,381.0,250,99060.0,2014-08-01,8,August,2014,,France,VTT
Government,422.0,250,109720.0,2014-08-01,8,August,2014,,Germany,VTT
Government,1666.0,5,433160.0,2014-05-01,5,May,2014,,France,Montana
Government,2417.0,10,628420.0,2014-01-01,1,January,2014,,Mexico,Paseo
Government,1307.0,120,339820.0,2014-07-01,7,July,2014,,Germany,Velo
Government,1269.0,120,329940.0,2014-10-01,10,October,2014,,Canada,Velo
Government,1351.5,250,351390.0,2014-04-01,4,April,2014,,United States of America,VTT
Government,2071.0,260,538460.0,2014-09-01,9,September,2014,,United States of America,Amarilla
Government,1269.0,260,329940.0,2014-10-01,10,October,2014,,Canada,Amarilla
Government,2313.0,5,601380.0,2014-05-01,5,May,2014,,United States of America,Montana
Government,639.0,120,166140.0,2014-07-01,7,July,2014,,France,Velo
Government,2807.0,250,729820.0,2014-08-01,8,August,2014,,United States of America,VTT
Government,1870.0,250,486200.0,2013-12-01,12,December,2013,,Germany,VTT
Government,2240.0,260,582400.0,2014-02-01,2,February,2014,,Canada,Amarilla
Government,707.0,260,183820.0,2014-09-01,9,September,2014,,Canada,Amarilla
Government,792.0,3,205920.0,2014-03-01,3,March,2014,,Germany,Carretera
Government,766.0,5,199160.0,2014-01-01,1,January,2014,,Germany,Montana
Government,2104.5,10,547170.0,2014-07-01,7,July,2014,,Canada,Paseo
Government,344.0,120,89440.0,2013-10-01,10,October,2013,,Mexico,Velo
Government,344.0,260,89440.0,2013-10-01,10,October,2013,,Mexico,Amarilla
Government,886.0,3,230360.0,2014-06-01,6,June,2014,,Mexico,Carretera
Government,886.0,10,230360.0,2014-06-01,6,June,2014,,Mexico,Paseo
Government,1594.0,10,414440.0,2014-11-01,11,November,2014,,France,Paseo
Government,1197.0,10,311220.0,2014-11-01,11,November,2014,,Mexico,Paseo
Government,1395.0,120,362700.0,2014-07-01,7,July,2014,,Mexico,Velo
Government,986.0,120,256360.0,2014-10-01,10,October,2014,,United States of America,Velo
Government,623.0,250,161980.0,2013-09-01,9,September,2013,,Canada,VTT
Government,986.0,250,256360.0,2014-10-01,10,October,2014,,United States of America,VTT
Government,270.0,260,70200.0,2014-02-01,2,February,2014,,United States of America,Amarilla
Government,923.0,3,239980.0,2014-03-01,3,March,2014,,Canada,Carretera
Government,1790.0,3,465400.0,2014-03-01,3,March,2014,,France,Carretera
Government,982.5,5,255450.0,2014-01-01,1,January,2014,,United States of America,Montana
Government,2632.0,10,684320.0,2014-06-01,6,June,2014,,Canada,Paseo
Government,357.0,10,92820.0,2014-11-01,11,November,2014,,Germany,Paseo
Government,2632.0,120,684320.0,2014-06-01,6,June,2014,,Canada,Velo
Government,2227.5,5,579150.0,2014-01-01,1,January,2014,,Canada,Montana
Government,1199.0,5,311740.0,2014-04-01,4,April,2014,,Germany,Montana
Government,200.0,5,52000.0,2014-05-01,5,May,2014,,Canada,Montana
Government,700.0,10,182000.0,2014-11-01,11,November,2014,,Canada,Paseo
Government,1177.0,10,306020.0,2014-11-01,11,November,2014,,United States of America,Paseo
Government,1922.0,10,499720.0,2013-11-01,11,November,2013,,France,Paseo
Government,1281.0,250,333060.0,2013-12-01,12,December,2013,,France,VTT
Government,2851.0,10,741260.0,2014-05-01,5,May,2014,,Mexico,Paseo
Government,2007.0,10,521820.0,2013-11-01,11,November,2013,,United States of America,Paseo
Government,2151.0,10,559260.0,2013-11-01,11,November,2013,,Mexico,Paseo
Government,1618.5,3,16185.0,2014-01-01,1,January,2014,,Canada,Carretera
Government,1321.0,3,13210.0,2014-01-01,1,January,2014,,Germany,Carretera
Government,1899.0,5,18990.0,2014-06-01,6,June,2014,,France,Montana
Government,292.0,10,2920.0,2014-02-01,2,February,2014,,Canada,Paseo
Government,1817.0,10,18170.0,2014-12-01,12,December,2014,,Canada,Paseo
Government,1817.0,250,18170.0,2014-12-01,12,December,2014,,Canada,VTT
Government,1899.0,260,18990.0,2014-06-01,6,June,2014,,France,Amarilla
Government,1375.5,5,13755.0,2014-07-01,7,July,2014,,France,Montana
Government,3864.0,120,38640.0,2014-04-01,4,April,2014,,France,Velo
Government,1566.0,5,15660.0,2014-10-01,10,October,2014,,United States of America,Montana
Government,1566.0,120,15660.0,2014-10-01,10,October,2014,,United States of America,Velo
Government,544.0,120,5440.0,2013-12-01,12,December,2013,,Mexico,Velo
Government,1236.0,260,12360.0,2014-11-01,11,November,2014,,United States of America,Amarilla
Government,941.0,260,9410.0,2014-11-01,11,November,2014,,France,Amarilla
Government,2580.0,3,25800.0,2014-04-01,4,April,2014,,Germany,Carretera
Government,831.0,3,8310.0,2014-05-01,5,May,2014,,Canada,Carretera
Government,3850.5,120,38505.0,2014-04-01,4,April,2014,,Canada,Velo
Government,736.0,120,7360.0,2013-09-01,9,September,2013,,United States of America,Velo
Government,2074.0,10,20740.0,2014-09-01,9,September,2014,,Canada,Paseo
Government,1056.0,10,10560.0,2014-09-01,9,September,2014,,United States of America,Paseo
Government,2646.0,120,26460.0,2013-09-01,9,September,2013,,Canada,Velo
Government,1563.0,3,15630.0,2014-05-01,5,May,2014,,France,Carretera
Government,1303.0,10,13030.0,2014-02-01,2,February,2014,,France,Paseo
Government,1389.0,10,13890.0,2013-10-01,10,October,2013,,Canada,Paseo
Government,1802.0,10,18020.0,2013-12-01,12,December,2013,,Canada,Paseo
Government,2663.0,10,26630.0,2014-12-01,12,December,2014,,United States of America,Paseo
Government,2832.0,120,28320.0,2014-08-01,8,August,2014,,United States of America,Velo
Government,1579.0,120,15790.0,2014-08-01,8,August,2014,,France,Velo
Government,1033.0,120,10330.0,2013-12-01,12,December,2013,,France,Velo
Government,1389.0,250,13890.0,2013-10-01,10,October,2013,,Canada,VTT
Government,1265.0,250,12650.0,2013-11-01,11,November,2013,,United States of America,VTT
Government,2297.0,250,22970.0,2013-11-01,11,November,2013,,Germany,VTT
Government,2663.0,250,26630.0,2014-12-01,12,December,2014,,United States of America,VTT
Government,1117.5,3,11175.0,2014-01-01,1,January,2014,,United States of America,Carretera
Government,1123.0,250,11230.0,2013-11-01,11,November,2013,,Mexico,VTT
Government,1757.0,5,17570.0,2013-10-01,10,October,2013,,France,Montana
Government,1757.0,10,17570.0,2013-10-01,10,October,2013,,France,Paseo
Government,1001.0,120,10010.0,2014-08-01,8,August,2014,,Germany,Velo
Government,1834.0,3,18340.0,2013-09-01,9,September,2013,,Mexico,Carretera
