Segment,Discount Band,Units Sold,Sale Price,Gross Sales,Discounts,Sales,Profit,Date,Month Number,Month Name,Year,Product_Name,Country,Product
Government,,1513.0,350,529550.0,0.0,529550.0,136170.0,2014-12-01,12,December,2014,,Germany,Carretera
Government,,1006.0,350,352100.0,0.0,352100.0,90540.0,2014-06-01,6,June,2014,,Germany,Paseo
Government,,1725.0,350,603750.0,0.0,603750.0,155250.0,2013-11-01,11,November,2013,,Canada,Paseo
Government,,1513.0,350,529550.0,0.0,529550.0,136170.0,2014-12-01,12,December,2014,,Germany,Paseo
Government,,1006.0,350,352100.0,0.0,352100.0,90540.0,2014-06-01,6,June,2014,,Germany,Velo
Government,,1527.0,350,534450.0,0.0,534450.0,137430.0,2013-09-01,9,September,2013,,France,VTT
Government,,2750.0,350,962500.0,0.0,962500.0,247500.0,2014-02-01,2,February,2014,,France,Amarilla
Government,Low,1210.0,350,423500.0,4235.0,419265.0,104665.0,2014-03-01,3,March,2014,,Mexico,Carretera
Government,Low,1397.0,350,488950.0,4889.5,484060.5,120840.5,2014-10-01,10,October,2014,,Mexico,Carretera
Government,Low,2155.0,350,754250.0,7542.5,746707.5,186407.5,2014-12-01,12,December,2014,,France,Carretera
Government,Low,2155.0,350,754250.0,7542.5,746707.5,186407.5,2014-12-01,12,December,2014,,France,Paseo
Government,Low,943.5,350,330225.0,3302.25,326922.75,81612.75,2014-04-01,4,April,2014,,Canada,VTT
Government,Low,1397.0,350,488950.0,4889.5,484060.5,120840.5,2014-10-01,10,October,2014,,Mexico,VTT
Government,Low,2852.0,350,998200.0,19964.0,978236.0,236716.0,2014-12-01,12,December,2014,,Canada,Carretera
Government,Low,2852.0,350,998200.0,19964.0,978236.0,236716.0,2014-12-01,12,December,2014,,Canada,Paseo
Government,Low,2966.0,350,1038100.0,20762.0,1017338.0,246178.0,2013-10-01,10,October,2013,,Germany,Velo
Government,Low,2877.0,350,1006950.0,20139.0,986811.0,238791.0,2014-10-01,10,October,2014,,Germany,Velo
